uuid,distance,rssi
d6:fb:b2:5e:83:c5,1.5,-78
d6:fb:b2:5e:83:c5,1.5,-83
d6:fb:b2:5e:83:c5,1.5,-95
d6:fb:b2:5e:83:c5,1.5,-73
d6:fb:b2:5e:83:c5,1.5,-93
d6:fb:b2:5e:83:c5,1.5,-77
d6:fb:b2:5e:83:c5,1.5,-86
d6:fb:b2:5e:83:c5,1.5,-87
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-93
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-70
d6:fb:b2:5e:83:c5,1.5,-71
d6:fb:b2:5e:83:c5,1.5,-82
d6:fb:b2:5e:83:c5,1.5,-73
d6:fb:b2:5e:83:c5,1.5,-70
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-85
d6:fb:b2:5e:83:c5,1.5,-83
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-87
d6:fb:b2:5e:83:c5,1.5,-86
d6:fb:b2:5e:83:c5,1.5,-81
d6:fb:b2:5e:83:c5,1.5,-84
d6:fb:b2:5e:83:c5,1.5,-95
d6:fb:b2:5e:83:c5,1.5,-98
d6:fb:b2:5e:83:c5,1.5,-94
d6:fb:b2:5e:83:c5,1.5,-82
d6:fb:b2:5e:83:c5,1.5,-93
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-87
d6:fb:b2:5e:83:c5,1.5,-84
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-94
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-95
d6:fb:b2:5e:83:c5,1.5,-77
d6:fb:b2:5e:83:c5,1.5,-97
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-84
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-94
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-95
d6:fb:b2:5e:83:c5,1.5,-99
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-95
d6:fb:b2:5e:83:c5,1.5,-95
d6:fb:b2:5e:83:c5,1.5,-94
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-82
d6:fb:b2:5e:83:c5,1.5,-97
d6:fb:b2:5e:83:c5,1.5,-84
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-98
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-87
d6:fb:b2:5e:83:c5,1.5,-87
d6:fb:b2:5e:83:c5,1.5,-74
d6:fb:b2:5e:83:c5,1.5,-82
d6:fb:b2:5e:83:c5,1.5,-86
d6:fb:b2:5e:83:c5,1.5,-73
d6:fb:b2:5e:83:c5,1.5,-71
d6:fb:b2:5e:83:c5,1.5,-71
d6:fb:b2:5e:83:c5,1.5,-78
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-70
d6:fb:b2:5e:83:c5,1.5,-86
d6:fb:b2:5e:83:c5,1.5,-95
d6:fb:b2:5e:83:c5,1.5,-87
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-77
d6:fb:b2:5e:83:c5,1.5,-97
d6:fb:b2:5e:83:c5,1.5,-84
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-95
d6:fb:b2:5e:83:c5,1.5,-73
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-93
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-79
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-86
d6:fb:b2:5e:83:c5,1.5,-78
d6:fb:b2:5e:83:c5,1.5,-80
d6:fb:b2:5e:83:c5,1.5,-85
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-87
d6:fb:b2:5e:83:c5,1.5,-85
d6:fb:b2:5e:83:c5,1.5,-77
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-78
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-74
d6:fb:b2:5e:83:c5,1.5,-77
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-96
d6:fb:b2:5e:83:c5,1.5,-96
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-77
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-73
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-98
d6:fb:b2:5e:83:c5,1.5,-95
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-94
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-94
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-94
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-97
d6:fb:b2:5e:83:c5,1.5,-97
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-95
d6:fb:b2:5e:83:c5,1.5,-80
d6:fb:b2:5e:83:c5,1.5,-82
d6:fb:b2:5e:83:c5,1.5,-93
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-77
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-93
d6:fb:b2:5e:83:c5,1.5,-78
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-77
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-80
d6:fb:b2:5e:83:c5,1.5,-87
d6:fb:b2:5e:83:c5,1.5,-97
d6:fb:b2:5e:83:c5,1.5,-82
d6:fb:b2:5e:83:c5,1.5,-75
d6:fb:b2:5e:83:c5,1.5,-74
d6:fb:b2:5e:83:c5,1.5,-58
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-97
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-93
d6:fb:b2:5e:83:c5,1.5,-93
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-80
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-95
d6:fb:b2:5e:83:c5,1.5,-77
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-81
d6:fb:b2:5e:83:c5,1.5,-77
d6:fb:b2:5e:83:c5,1.5,-87
d6:fb:b2:5e:83:c5,1.5,-86
d6:fb:b2:5e:83:c5,1.5,-80
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-97
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-85
d6:fb:b2:5e:83:c5,1.5,-78
d6:fb:b2:5e:83:c5,1.5,-77
d6:fb:b2:5e:83:c5,1.5,-85
d6:fb:b2:5e:83:c5,1.5,-74
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-79
d6:fb:b2:5e:83:c5,1.5,-93
d6:fb:b2:5e:83:c5,1.5,-87
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-94
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-94
d6:fb:b2:5e:83:c5,1.5,-94
d6:fb:b2:5e:83:c5,1.5,-78
d6:fb:b2:5e:83:c5,1.5,-93
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-96
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-82
d6:fb:b2:5e:83:c5,1.5,-83
d6:fb:b2:5e:83:c5,1.5,-99
d6:fb:b2:5e:83:c5,1.5,-78
d6:fb:b2:5e:83:c5,1.5,-96
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-86
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-85
d6:fb:b2:5e:83:c5,1.5,-82
d6:fb:b2:5e:83:c5,1.5,-81
d6:fb:b2:5e:83:c5,1.5,-88
d6:fb:b2:5e:83:c5,1.5,-71
d6:fb:b2:5e:83:c5,1.5,-72
d6:fb:b2:5e:83:c5,1.5,-63
d6:fb:b2:5e:83:c5,1.5,-94
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-79
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-76
d6:fb:b2:5e:83:c5,1.5,-74
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-75
d6:fb:b2:5e:83:c5,1.5,-91
d6:fb:b2:5e:83:c5,1.5,-87
d6:fb:b2:5e:83:c5,1.5,-93
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-92
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-78
d6:fb:b2:5e:83:c5,1.5,-90
d6:fb:b2:5e:83:c5,1.5,-89
d6:fb:b2:5e:83:c5,1.5,-80
d6:fb:b2:5e:83:c5,1.5,-88
